Gas,"NFR/CRF Group",Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A1cii,"Gas terminal: fuel combustion","Gas oil",kilotonne,0.398834743268815,0.443506876978376,0.449041548909571,0.524537052064179,0.558647388245655,0.605494720530796,0.721150834423397,0.734492052353611,0.766725272727273,11.8412101090909,0.131629090909091,0.23103,0.284113636363636,0.480771,0.749413172727272,0.558951029388079,2.42277929947153,0.59355914927055,1.30701940938048,1.01892159886366,0.64416441979614,0.880545559929331,1.84392047870584,2.69450858219865,0.793012831225303,0.93500742407439,1.12100661900567,0.822439459419818,0.822123922821165,0.43844676512836,0.378224902327772,0.543241095369073,0.389009510125113
"Carbon Dioxide as Carbon",1A1cii,"Gas terminal: fuel combustion","Natural gas",kilotonne,182.662785346236,195.239705481039,175.179919489383,189.66013439691,196.928555193919,247.236734751381,268.194955788519,385.509944808866,430.656227727271,481.03758959929,592.169889414239,630.223796664815,584.578681981536,566.590846363637,541.437846475356,539.219492133479,429.691178217781,403.640005793982,441.165145807979,390.008126422258,398.98422037995,371.640232701275,371.579685521182,397.459527962728,403.702995758183,375.70603011,408.147549395453,387.948950790002,389.036228083637,386.299394705034,359.324864926363,328.251060409092,309.387857661817
"Carbon Dioxide as Carbon",1A1cii,"Upstream Gas Production - fuel combustion","Gas oil",kilotonne,12.6989133864059,13.5961859898156,14.7584549011023,17.0879409185409,18.0635808001679,16.5820544342057,20.3137069592965,20.4586940562951,31.2045381818182,19.3213832727272,18.2224151869129,20.3878444573278,23.6283634036364,15.4708069090909,16.530835556707,17.9546341091078,19.2519968672347,18.13963166739,21.8757817920783,15.1666145808045,15.4380150220408,20.7699965924164,28.3745160416258,33.535730628401,37.4003979827834,55.0168147271928,41.084942856251,35.3535037510745,39.5697195107308,46.5255869550737,45.1858509206191,55.5818100869928,35.5112269952189
"Carbon Dioxide as Carbon",1A1cii,"Upstream Gas Production - fuel combustion","Natural gas",kilotonne,485.257238545244,543.525498143535,579.821646710863,671.363910332102,582.029809178107,628.361564813502,740.101235209608,832.841197471911,880.572538363637,870.284944553734,940.546866198316,1154.99711951998,1132.36795654963,1073.61829118182,1109.87753294148,1036.43967655512,964.823968227272,874.050477272725,887.171211933658,904.166164826122,874.617439090909,785.496135602036,678.994966634212,739.532773636363,708.920097667055,714.549036485622,639.341712916438,624.719003997273,552.250889184546,579.46084504909,568.908631193012,440.795507181819,518.03441821091
"Carbon Dioxide as Carbon",1A1ciii,"Collieries - combustion",Coal,kilotonne,79.2090003744,74.1514121152,52.49002543193,31.89267368016,14.66949492228,5.33436178992,5.2965294368,5.25869708368,3.4994926636,6.9280496651,8.39714718077051,7.04655776648001,6.32117338868697,4.26702374454115,5.64754656911505,4.05224967424987,2.67021905544942,3.24655392627962,3.7090465653258,3.3622110011864,3.403505512411,2.5910482622472,2.6253213874092,1.782202508424,0.4181321269764,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ciii,"Collieries - combustion","Colliery methane",kilotonne,39.5914249439931,31.01524090568,31.3676868250627,34.0110312204332,40.9424676349602,23.9075815314617,21.4992010823464,19.2670435929224,17.2698500497536,19.4432665526138,21.616683055474,36.7131166023674,35.3620739114003,49.3424287135818,43.762034990022,39.0374934254175,39.6368863401245,40.1900293328242,43.2281046897199,42.4608733124424,49.6203676352867,41.038879603573,32.5367425876595,25.9662145100803,22.9204205851947,20.7981594198989,26.3160384496679,24.0051992208273,23.1023286850772,21.3875416635181,17.1751564305725,18.0404326256802,18.5667533946736
"Carbon Dioxide as Carbon",1A1ciii,"Collieries - combustion","Natural gas",kilotonne,16.71574968152,31.2168838842758,51.7314841602433,20.6429576353683,13.2568535276722,18.3818597724423,17.2218841069389,9.68691216817003,3.3713658194942,0.707625998813501,0.302090086739563,0.20160939421185,-,-,-,-,-,-,4.27685235034121,3.92080261309479,3.71702272265176,3.06757215222444,4.82710868733339,3.016047743834,5.01713201548941,3.9652485966214,3.85543360962551,3.81647102944229,3.95044908595821,4.00715781019005,3.37197123087486,2.98870176665807,3.03735834256654
"Carbon Dioxide as Carbon",1A1ciii,"Gas production","Colliery methane",kilotonne,5.16920681761334,3.46571820726349,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ciii,"Gas production",LPG,kilotonne,29.4414799639172,33.4721589513032,32.1870149776056,33.3553276809671,37.7949159537402,34.2899778436562,38.2762741229843,35.9268016083403,36.7803223186417,36.774128106815,31.4675315745719,-,-,0.0160193741512058,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ciii,"Gas production","Natural gas",kilotonne,140.722284355599,176.53859350861,166.24459164826,168.473470039302,172.246742147993,193.92519367619,264.513410153078,245.038271802958,317.764503991092,400.883408914088,433.482361030128,455.802505999043,454.890295697337,484.473718570698,383.394078580863,429.074061453068,387.811942896913,330.342423548557,357.629158085611,349.575631891031,499.899498203485,440.243638057826,319.503437397994,306.44331337766,298.85408905534,342.136099670742,343.427923401097,344.453789573674,287.721097879161,330.874751586676,323.98847060463,303.530304165664,323.686159900064
